# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,added_in,deprecated_in,node_status,notes
node:diagnostics_channel,diagnostics_channel.console.debug,event,,,stable,
node:diagnostics_channel,diagnostics_channel.console.error,event,,,stable,
node:diagnostics_channel,diagnostics_channel.console.info,event,,,stable,
node:diagnostics_channel,diagnostics_channel.console.log,event,,,stable,
node:diagnostics_channel,diagnostics_channel.console.warn,event,,,stable,
node:diagnostics_channel,diagnostics_channel.end,method,,,stable,
node:diagnostics_channel,diagnostics_channel.error,method,,,stable,
node:diagnostics_channel,diagnostics_channel.execve,event,,,stable,
node:diagnostics_channel,diagnostics_channel.hasSubscribers,method,v15.1.0,,stable,
node:diagnostics_channel,diagnostics_channel.http.client.request.created,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http.client.request.error,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http.client.request.start,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http.client.response.finish,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http.server.request.start,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http.server.response.created,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http.server.response.finish,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.bodyChunkSent,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.bodySent,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.close,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.created,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.error,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.finish,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.client.stream.start,event,,,stable,
node:diagnostics_channel,diagnostics_channel.http2.server.stream.close,event,,,stable,
